index division length width area intensity CMx CMy
404 0 91.1707 14.2261 1297 167.989 644.082 469.517
405 0 96.1249 13.6905 1316 164.207 644.76 468.209
406 0 98.0945 13.8948 1363 166.819 643.275 466.646
407 1 55.087 12.5801 693 167.714 643.254 488.815
408 0 55.0643 12.8395 707 170.184 644.6 488.528
409 0 56.0816 12.4462 698 169.589 643.666 488.017
410 0 59.0418 12.398 732 165.025 645.884 487.38
411 0 59.0817 13.0159 769 165.352 646.515 486.579
412 0 61.0665 13.0022 794 168.796 644.336 485.625
413 0 63.0454 12.9272 815 157.686 644.358 484.79
414 0 66.0507 13.4745 890 167.53 643.437 483.572
415 0 68.1274 13.0931 892 163.796 644.919 482.289
416 0 70.178 13.1523 923 162.367 645.085 481.436
417 0 72.0917 13.5938 980 161.178 645.155 480.188
418 0 74.1379 13.313 987 160.461 644.537 479.397
419 0 76.1409 13.6983 1043 164.87 642.435 478.092
420 0 81.1468 13.2229 1073 163.246 646.314 476.315
421 0 83.086 13.3115 1106 165.159 645.011 474.966
422 0 86.0606 13.3975 1153 156.667 645.155 473.941
423 0 89.1112 13.7132 1222 158.594 644.721 472.078
424 0 92.0955 13.4534 1239 158.088 644.546 469.787
425 0 96.149 13.5727 1305 157.821 646.514 468.297
426 0 99.398 13.5113 1343 154.13 644.229 466.52
427 1 54.1572 12.3714 670 163.751 644.051 488.652
428 0 57.1281 12.7608 729 159.925 644.497 487.416
429 0 58.0475 12.6448 734 155.985 644.029 487.101
430 0 60.0901 12.398 745 155.348 644.401 485.995
431 0 61.126 12.875 787 154.198 644.25 484.767
432 0 62.0743 13.1778 818 157.11 643.987 484.341
433 0 64.1324 12.9108 828 156.429 645.495 482.698
434 0 65.0676 13.1402 855 154.222 644.418 481.986
435 0 69.1672 13.0553 903 155.379 644.396 480.779
436 0 71.2074 13.1447 936 154.831 646.737 480.184
437 0 74.1052 13.184 977 155.958 646.706 478.844
438 0 74.2853 13.0982 973 145.913 644.466 477.714
439 0 79.0804 13.265 1049 152.494 643.981 476.687
440 0 81.0826 13.1964 1070 156.047 646.234 475.025
441 0 84.1067 13.1618 1107 160.732 645.018 474.716
442 0 85.0679 13.2482 1127 159.141 644.516 473.181
443 0 87.1267 13.6353 1188 159.032 643.781 471.416
444 0 92.1116 13.3642 1231 160.584 645.036 470.203
445 0 95.2007 13.5293 1288 156.224 645.764 468.071
446 0 101.185 12.9663 1312 145.651 645.727 465.45
447 1 50.1294 11.4504 574 156.071 645.084 490.016
448 0 53.092 12.0169 638 150.019 646.092 488.658
449 0 56.0805 12.2503 687 147.358 647.55 488.093
450 0 56.0688 12.5917 706 153.265 647.571 486.942
451 0 59.0427 11.9913 708 148.462 645.877 485.418
452 0 61.0684 12.5597 767 147.974 646.09 484.752
453 0 63.0498 12.6567 798 149.659 645.164 483.509
454 0 65.1356 12.5738 819 146.484 645.387 481.94
455 0 67.044 12.4396 834 145.892 646.042 480.697
456 0 70.0723 12.587 882 151.615 645.795 479.82
457 0 70.0882 13.055 915 152.611 644.711 478.24
458 0 72.153 12.8615 928 153.088 645.303 477.812
459 0 74.094 13.078 969 149.844 646.522 475.688
460 0 80.0937 12.6102 1010 151.249 646.858 473.805
461 0 81.1121 13.4012 1087 155.305 647.397 473.172
462 0 85.0998 13.1023 1115 157.213 646.458 471.208
463 0 88.1354 12.946 1141 153.074 645.222 470.11
464 0 89.2413 12.9985 1160 148.167 643.493 468.041
