distance,correlations,dataset,old_var,young_var
7.0,-0.06300957154922442,physical units,length_birth,growth_rate
7.0,-0.0024180039795443304,physical units,length_final,fold_growth
7.0,-0.03376614321513056,physical units,length_final,division_ratio
7.0,0.13633679476356655,physical units,length_final,added_length
7.0,0.06592330326491753,physical units,length_final,generationtime
7.0,0.23704111176220927,physical units,length_final,length_birth
7.0,0.2391106453065506,physical units,length_final,length_final
7.0,-0.11046193790310785,physical units,length_final,growth_rate
7.0,-0.018050024533545265,physical units,growth_rate,fold_growth
7.0,0.08592108316280239,physical units,growth_rate,division_ratio
7.0,-0.06108837378242811,physical units,growth_rate,added_length
7.0,-0.23425224296267347,physical units,growth_rate,generationtime
7.0,-0.07273087746679281,physical units,growth_rate,length_birth
7.0,-0.08921735153250343,physical units,growth_rate,length_final
7.0,0.33374719654542756,physical units,growth_rate,growth_rate
8.0,0.01949358811239705,physical units,fold_growth,fold_growth
8.0,-0.022295045246607838,physical units,fold_growth,division_ratio
8.0,0.0151082993903876,physical units,fold_growth,added_length
8.0,0.044540890448551286,physical units,fold_growth,generationtime
8.0,0.004286186648252565,physical units,fold_growth,length_birth
8.0,0.014779794849835248,physical units,fold_growth,length_final
8.0,-0.04211454631317618,physical units,fold_growth,growth_rate
8.0,-0.03496580525388215,physical units,division_ratio,fold_growth
8.0,0.050287276504481684,physical units,division_ratio,division_ratio
8.0,-0.010794358525494329,physical units,division_ratio,added_length
8.0,-0.08688394425910388,physical units,division_ratio,generationtime
8.0,0.03490597094218361,physical units,division_ratio,length_birth
8.0,0.009849997142380999,physical units,division_ratio,length_final
8.0,0.09358454483352124,physical units,division_ratio,growth_rate
8.0,0.009474779210036794,physical units,added_length,fold_growth
8.0,-0.02671894005902832,physical units,added_length,division_ratio
8.0,0.08026336892031763,physical units,added_length,added_length
8.0,0.057977675372470616,physical units,added_length,generationtime
8.0,0.13118407282673925,physical units,added_length,length_birth
8.0,0.13679528186454892,physical units,added_length,length_final
8.0,-0.0805710313678276,physical units,added_length,growth_rate
8.0,0.04273054516431754,physical units,generationtime,fold_growth
8.0,-0.07211491480788648,physical units,generationtime,division_ratio
8.0,0.059668628267460985,physical units,generationtime,added_length
8.0,0.1957389039553803,physical units,generationtime,generationtime
8.0,0.0379452938676717,physical units,generationtime,length_birth
8.0,0.0696690498102917,physical units,generationtime,length_final
8.0,-0.24469009975680805,physical units,generationtime,growth_rate
8.0,-0.015197245963835941,physical units,length_birth,fold_growth
8.0,-0.00503687009980266,physical units,length_birth,division_ratio
8.0,0.11358654995944703,physical units,length_birth,added_length
8.0,0.028158262045039333,physical units,length_birth,generationtime
8.0,0.21981967419351892,physical units,length_birth,length_birth
8.0,0.21195769596319258,physical units,length_birth,length_final
8.0,-0.06957762775338322,physical units,length_birth,growth_rate
8.0,-0.000296183356540971,physical units,length_final,fold_growth
8.0,-0.02434981612839041,physical units,length_final,division_ratio
8.0,0.12492041080253136,physical units,length_final,added_length
8.0,0.06189675791548815,physical units,length_final,generationtime
8.0,0.22214183416691735,physical units,length_final,length_birth
8.0,0.22256497137140369,physical units,length_final,length_final
8.0,-0.10202782249221648,physical units,length_final,growth_rate
8.0,-0.042934901626371605,physical units,growth_rate,fold_growth
8.0,0.08019450689915258,physical units,growth_rate,division_ratio
8.0,-0.07468213573553607,physical units,growth_rate,added_length
8.0,-0.24171529427310184,physical units,growth_rate,generationtime
8.0,-0.05221024050799675,physical units,growth_rate,length_birth
8.0,-0.08973459658355495,physical units,growth_rate,length_final
8.0,0.3201244444237829,physical units,growth_rate,growth_rate
9.0,0.011703166476784587,physical units,fold_growth,fold_growth
9.0,-0.04434727819271697,physical units,fold_growth,division_ratio
9.0,0.019508601196866614,physical units,fold_growth,added_length
9.0,0.041628933081968696,physical units,fold_growth,generationtime
9.0,0.007719845813162107,physical units,fold_growth,length_birth
9.0,0.02023371792013879,physical units,fold_growth,length_final
9.0,-0.04300780549447475,physical units,fold_growth,growth_rate
9.0,-0.05033291066950086,physical units,division_ratio,fold_growth
9.0,0.062169474252693174,physical units,division_ratio,division_ratio
9.0,-0.028530138746123968,physical units,division_ratio,added_length
9.0,-0.0919554416464117,physical units,division_ratio,generationtime
9.0,0.034654570779121235,physical units,division_ratio,length_birth
9.0,-0.004957161949521249,physical units,division_ratio,length_final
9.0,0.07156109489042638,physical units,division_ratio,growth_rate
9.0,0.010463851175255095,physical units,added_length,fold_growth
9.0,-0.04114846553972658,physical units,added_length,division_ratio
9.0,0.0928305989066308,physical units,added_length,added_length
9.0,0.06016296719568289,physical units,added_length,generationtime
9.0,0.13248711182714196,physical units,added_length,length_birth
9.0,0.147619519153302,physical units,added_length,length_final
9.0,-0.07818252917101785,physical units,added_length,growth_rate
9.0,0.04324374591096465,physical units,generationtime,fold_growth
9.0,-0.0905172179486676,physical units,generationtime,division_ratio
9.0,0.06718237405923005,physical units,generationtime,added_length
9.0,0.19546315069632197,physical units,generationtime,generationtime
