variable_a,variable_b,AB_parameter_pair,covariance,correlation,kind,cov difference between data and modeldataset,generation,corr difference between data and model,cov difference between data and model,dataset
fold_growth,generationtime,"$\overline{\phi}$, $\overline{\tau}$",0.0007076863292278856,0.03691404032234064,time_averages,,4,0.0,0.0,SP
fold_growth,generationtime,"$\phi$, $\tau$",0.0026591660130679444,0.13870631291872634,model,,4,0.0,0.0,SP
fold_growth,generationtime,"$\phi$, $\tau$",0.0020431432904563143,0.10657359156635275,physical_units,,5,0.0,0.0,SP
fold_growth,generationtime,"$\delta \phi$, $\delta \tau$",0.0013354569612284285,0.0696595512440121,trace_centered,,5,0.0,0.0,SP
fold_growth,generationtime,"$\overline{\phi}$, $\overline{\tau}$",0.0007076863292278856,0.03691404032234064,time_averages,,5,0.0,0.0,SP
fold_growth,generationtime,"$\phi$, $\tau$",0.0020431432904563143,0.10657359156635275,model,,5,0.0,0.0,SP
fold_growth,length_birth,"$\phi$, $x_0$",-0.04370067570701886,-0.5656931663411543,physical_units,,0,0.0,0.0,SP
fold_growth,length_birth,"$\delta \phi$, $\delta x_0$",-0.04303210856356701,-0.5570387494889637,trace_centered,,0,0.0,0.0,SP
fold_growth,length_birth,"$\overline{\phi}$, $\overline{x_0}$",-0.0006685671434518519,-0.008654416852190563,time_averages,,0,0.0,0.0,SP
fold_growth,length_birth,"$\phi$, $x_0$",-0.04370067570701886,-0.5656931663411543,model,,0,0.0,0.0,SP
fold_growth,length_birth,"$\phi$, $x_0$",-0.013263367041192508,-0.17169061980137812,physical_units,,1,0.0,0.0,SP
fold_growth,length_birth,"$\delta \phi$, $\delta x_0$",-0.012594799897740656,-0.16303620294918758,trace_centered,,1,0.0,0.0,SP
fold_growth,length_birth,"$\overline{\phi}$, $\overline{x_0}$",-0.0006685671434518519,-0.008654416852190563,time_averages,,1,0.0,0.0,SP
fold_growth,length_birth,"$\phi$, $x_0$",-0.013263367041192508,-0.17169061980137812,model,,1,0.0,0.0,SP
fold_growth,length_birth,"$\phi$, $x_0$",-0.002632671541329186,-0.034079205322483305,physical_units,,2,0.0,0.0,SP
fold_growth,length_birth,"$\delta \phi$, $\delta x_0$",-0.001964104397877334,-0.025424788470292742,trace_centered,,2,0.0,0.0,SP
fold_growth,length_birth,"$\overline{\phi}$, $\overline{x_0}$",-0.0006685671434518519,-0.008654416852190563,time_averages,,2,0.0,0.0,SP
fold_growth,length_birth,"$\phi$, $x_0$",-0.002632671541329186,-0.034079205322483305,model,,2,0.0,0.0,SP
fold_growth,length_birth,"$\phi$, $x_0$",-0.0034427168039350468,-0.04456501731668006,physical_units,,3,-6.938893903907228e-18,-4.336808689942018e-19,SP
fold_growth,length_birth,"$\delta \phi$, $\delta x_0$",-0.002774149660483195,-0.0359106004644895,trace_centered,,3,-6.938893903907228e-18,-4.336808689942018e-19,SP
fold_growth,length_birth,"$\overline{\phi}$, $\overline{x_0}$",-0.0006685671434518519,-0.008654416852190563,time_averages,,3,-6.938893903907228e-18,-4.336808689942018e-19,SP
fold_growth,length_birth,"$\phi$, $x_0$",-0.003442716803935047,-0.04456501731668007,model,,3,-6.938893903907228e-18,-4.336808689942018e-19,SP
fold_growth,length_birth,"$\phi$, $x_0$",-0.0053603265501003285,-0.0693879453736178,physical_units,,4,0.0,0.0,SP
fold_growth,length_birth,"$\delta \phi$, $\delta x_0$",-0.004691759406648476,-0.06073352852142722,trace_centered,,4,0.0,0.0,SP
fold_growth,length_birth,"$\overline{\phi}$, $\overline{x_0}$",-0.0006685671434518519,-0.008654416852190563,time_averages,,4,0.0,0.0,SP
fold_growth,length_birth,"$\phi$, $x_0$",-0.0053603265501003285,-0.0693879453736178,model,,4,0.0,0.0,SP
fold_growth,length_birth,"$\phi$, $x_0$",-0.002184445160894945,-0.028277038736195127,physical_units,,5,0.0,0.0,SP
fold_growth,length_birth,"$\delta \phi$, $\delta x_0$",-0.0015158780174430932,-0.019622621884004564,trace_centered,,5,0.0,0.0,SP
fold_growth,length_birth,"$\overline{\phi}$, $\overline{x_0}$",-0.0006685671434518519,-0.008654416852190563,time_averages,,5,0.0,0.0,SP
fold_growth,length_birth,"$\phi$, $x_0$",-0.002184445160894945,-0.028277038736195127,model,,5,0.0,0.0,SP
fold_growth,length_final,"$\phi$, $x_\tau$",-0.02136788940519257,-0.13999474200506457,physical_units,,0,0.0,0.0,SP
fold_growth,length_final,"$\delta \phi$, $\delta x_\tau$",-0.02162225812766309,-0.14166127457649225,trace_centered,,0,0.0,0.0,SP
fold_growth,length_final,"$\overline{\phi}$, $\overline{x_\tau}$",0.0002543687224705173,0.001666532571427684,time_averages,,0,0.0,0.0,SP
fold_growth,length_final,"$\phi$, $x_\tau$",-0.02136788940519257,-0.13999474200506457,model,,0,0.0,0.0,SP
fold_growth,length_final,"$\phi$, $x_\tau$",-0.002229630143208506,-0.014607736437897242,physical_units,,1,0.0,0.0,SP
fold_growth,length_final,"$\delta \phi$, $\delta x_\tau$",-0.0024839988656790235,-0.016274269009324927,trace_centered,,1,0.0,0.0,SP
fold_growth,length_final,"$\overline{\phi}$, $\overline{x_\tau}$",0.0002543687224705173,0.001666532571427684,time_averages,,1,0.0,0.0,SP
fold_growth,length_final,"$\phi$, $x_\tau$",-0.002229630143208506,-0.014607736437897242,model,,1,0.0,0.0,SP
fold_growth,length_final,"$\phi$, $x_\tau$",0.003687024940108831,0.02415606405803197,physical_units,,2,0.0,0.0,SP
fold_growth,length_final,"$\delta \phi$, $\delta x_\tau$",0.0034326562176383137,0.022489531486604285,trace_centered,,2,0.0,0.0,SP
fold_growth,length_final,"$\overline{\phi}$, $\overline{x_\tau}$",0.0002543687224705173,0.001666532571427684,time_averages,,2,0.0,0.0,SP
fold_growth,length_final,"$\phi$, $x_\tau$",0.003687024940108831,0.02415606405803197,model,,2,0.0,0.0,SP
fold_growth,length_final,"$\phi$, $x_\tau$",0.0084824116549798,0.055573716650324824,physical_units,,3,0.0,0.0,SP
fold_growth,length_final,"$\delta \phi$, $\delta x_\tau$",0.008228042932509283,0.05390718407889714,trace_centered,,3,0.0,0.0,SP
fold_growth,length_final,"$\overline{\phi}$, $\overline{x_\tau}$",0.0002543687224705173,0.001666532571427684,time_averages,,3,0.0,0.0,SP
fold_growth,length_final,"$\phi$, $x_\tau$",0.0084824116549798,0.055573716650324824,model,,3,0.0,0.0,SP
fold_growth,length_final,"$\phi$, $x_\tau$",-0.003422581040625644,-0.02242352254300683,physical_units,,4,0.0,0.0,SP
fold_growth,length_final,"$\delta \phi$, $\delta x_\tau$",-0.0036769497630961614,-0.024090055114434513,trace_centered,,4,0.0,0.0,SP
fold_growth,length_final,"$\overline{\phi}$, $\overline{x_\tau}$",0.0002543687224705173,0.001666532571427684,time_averages,,4,0.0,0.0,SP
fold_growth,length_final,"$\phi$, $x_\tau$",-0.003422581040625644,-0.02242352254300683,model,,4,0.0,0.0,SP
fold_growth,length_final,"$\phi$, $x_\tau$",-0.0034110357537800976,-0.02234788196743721,physical_units,,5,0.0,0.0,SP
fold_growth,length_final,"$\delta \phi$, $\delta x_\tau$",-0.003665404476250615,-0.024014414538864895,trace_centered,,5,0.0,0.0,SP
fold_growth,length_final,"$\overline{\phi}$, $\overline{x_\tau}$",0.0002543687224705173,0.001666532571427684,time_averages,,5,0.0,0.0,SP
fold_growth,length_final,"$\phi$, $x_\tau$",-0.0034110357537800976,-0.02234788196743721,model,,5,0.0,0.0,SP
fold_growth,growth_rate,"$\phi$, $\alpha$",-0.0090373210200077,-0.3143301798160829,physical_units,,0,0.0,0.0,SP
fold_growth,growth_rate,"$\delta \phi$, $\delta \alpha$",-0.007840053699534609,-0.2726876121459676,trace_centered,,0,0.0,0.0,SP
fold_growth,growth_rate,"$\overline{\phi}$, $\overline{\alpha}$",-0.0011972673204730913,-0.04164256767011536,time_averages,,0,0.0,0.0,SP
fold_growth,growth_rate,"$\phi$, $\alpha$",-0.0090373210200077,-0.3143301798160829,model,,0,0.0,0.0,SP
fold_growth,growth_rate,"$\phi$, $\alpha$",-0.0030861666340331094,-0.10734102626988415,physical_units,,1,0.0,0.0,SP
fold_growth,growth_rate,"$\delta \phi$, $\delta \alpha$",-0.001888899313560018,-0.06569845859976879,trace_centered,,1,0.0,0.0,SP
fold_growth,growth_rate,"$\overline{\phi}$, $\overline{\alpha}$",-0.0011972673204730913,-0.04164256767011536,time_averages,,1,0.0,0.0,SP
fold_growth,growth_rate,"$\phi$, $\alpha$",-0.0030861666340331094,-0.10734102626988415,model,,1,0.0,0.0,SP
fold_growth,growth_rate,"$\phi$, $\alpha$",-0.004287150817039493,-0.14911287141789975,physical_units,,2,0.0,0.0,SP
fold_growth,growth_rate,"$\delta \phi$, $\delta \alpha$",-0.003089883496566402,-0.1074703037477844,trace_centered,,2,0.0,0.0,SP
fold_growth,growth_rate,"$\overline{\phi}$, $\overline{\alpha}$",-0.0011972673204730913,-0.04164256767011536,time_averages,,2,0.0,0.0,SP
fold_growth,growth_rate,"$\phi$, $\alpha$",-0.004287150817039493,-0.14911287141789975,model,,2,0.0,0.0,SP
fold_growth,growth_rate,"$\phi$, $\alpha$",-0.0024139378548605614,-0.08396000521651528,physical_units,,3,0.0,0.0,SP
fold_growth,growth_rate,"$\delta \phi$, $\delta \alpha$",-0.00121667053438747,-0.04231743754639993,trace_centered,,3,0.0,0.0,SP
fold_growth,growth_rate,"$\overline{\phi}$, $\overline{\alpha}$",-0.0011972673204730913,-0.04164256767011536,time_averages,,3,0.0,0.0,SP
fold_growth,growth_rate,"$\phi$, $\alpha$",-0.0024139378548605614,-0.08396000521651528,model,,3,0.0,0.0,SP
fold_growth,growth_rate,"$\phi$, $\alpha$",-0.004509729962993723,-0.15685447347189466,physical_units,,4,0.0,0.0,SP
fold_growth,growth_rate,"$\delta \phi$, $\delta \alpha$",-0.0033124626425206313,-0.11521190580177931,trace_centered,,4,0.0,0.0,SP
fold_growth,growth_rate,"$\overline{\phi}$, $\overline{\alpha}$",-0.0011972673204730913,-0.04164256767011536,time_averages,,4,0.0,0.0,SP
fold_growth,growth_rate,"$\phi$, $\alpha$",-0.004509729962993723,-0.15685447347189466,model,,4,0.0,0.0,SP
fold_growth,growth_rate,"$\phi$, $\alpha$",-0.002602595647899103,-0.09052177699359659,physical_units,,5,0.0,0.0,SP
fold_growth,growth_rate,"$\delta \phi$, $\delta \alpha$",-0.0014053283274260116,-0.048879209323481235,trace_centered,,5,0.0,0.0,SP
fold_growth,growth_rate,"$\overline{\phi}$, $\overline{\alpha}$",-0.0011972673204730913,-0.04164256767011536,time_averages,,5,0.0,0.0,SP
