timeA	lengthA	cellareaA	meanfluorescenceA	fluorescenceA
16.8	3.03828147	2.46875	23777.21519	58700
16.85	3.246353951	2.4375	26249.84615	63984
16.9	3.362815068	2.515625	25681.09317	64604
16.95	3.388571963	2.71875	25750.06897	70008
17	3.43576811	2.734375	26192.45714	71620
17.05	3.37765233	2.6875	24034.23256	64592
17.1	3.575959655	2.6875	26496	71208
17.15	3.719879063	2.828125	24769.76796	70052
17.2	3.839036993	2.90625	26406.53763	76744
17.25	3.914467602	2.90625	25785.80645	74940
17.3	3.80211728	2.9375	27756.93617	81536
17.35	4.088834466	3.25	26861.53846	87300
17.4	4.207702218	3.359375	27818.26977	93452
17.45	4.344301049	3.359375	28231.44186	94840
17.5	4.471436615	3.359375	28007.5907	94088
17.55	4.450179057	3.328125	28645.55869	95336
